Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain;Aspartate 1-decarboxylase alpha chain],panD sll0892,Q55382,PAND_SYNY3,alanine biosynthetic process [GO:0006523];pantothenate biosynthetic process [GO:0015940],cytoplasm [GO:0005737],aspartate 1-decarboxylase activity [GO:0004068],alanine biosynthetic process [GO:0006523];aspartate 1-decarboxylase activity [GO:0004068];cytoplasm [GO:0005737];pantothenate biosynthetic process [GO:0015940],145,2,2,2,21.4,16.129,0.00055835,3.2464,44522000,21,0.04305035,0.0403592,0.06064548,0.04030872,0.05300768,0.027659532
Malate dehydrogenase (EC 1.1.1.37),mdh sll0891,Q55383,MDH_SYNY3,carbohydrate metabolic process [GO:0005975];tricarboxylic acid cycle [GO:0006099],,L-malate dehydrogenase activity [GO:0030060],carbohydrate metabolic process [GO:0005975];L-malate dehydrogenase activity [GO:0030060];tricarboxylic acid cycle [GO:0006099],324,10,10,10,36.7,34.345,0,124.18,1910500000,196,1.5128094,1.335208,1.0090068,1.1704214,1.0539576,0.7875414
Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein),slr0923,Q55385,RRP3_SYNY3,translation [GO:0006412],ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];structural constituent of ribosome [GO:0003735];translation [GO:0006412],112,7,7,7,88.4,12.638,0,201.69,2724800000,206,1.7872112,2.174836,2.529658,2.468316,2.658768,2.340834
Slr0924 protein,slr0924,Q55386,Q55386_SYNY3,protein transport [GO:0015031],outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288];protein transport [GO:0015031],286,5,5,5,39.5,31.336,0,65.97,2723200000,141,2.076538,2.458988,2.527718,2.5534,2.584542,2.460786
Periplasmic binding protein of ABC transporter for natural amino acids,natB,Q55387,Q55387_SYNY3,,,,,454,18,18,18,62.3,46.672,0,323.31,7893200000,390,4.58815,4.084978,3.594128,3.990392,3.70215,2.722598
"Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)",ftrC sll0554,Q55389,FTRC_SYNY3,oxidation-reduction process [GO:0055114];photosynthesis [GO:0015979],,"4 iron, 4 sulfur cluster binding [GO:0051539];electron transfer activity [GO:0009055];ferredoxin:thioredoxin reductase activity [GO:0030385];ferredoxin-thioredoxin reductase activity [GO:0103012];metal ion binding [GO:0046872]","4 iron, 4 sulfur cluster binding [GO:0051539];electron transfer activity [GO:0009055];ferredoxin:thioredoxin reductase activity [GO:0030385];ferredoxin-thioredoxin reductase activity [GO:0103012];metal ion binding [GO:0046872];oxidation-reduction process [GO:0055114];photosynthesis [GO:0015979]",118,7,7,7,60.2,13.39,0,104.73,1241700000,118,1.445792,1.506076,1.53633,1.376426,1.485708,1.603092
Sll0553 protein,sll0553,Q55390,Q55390_SYNY3,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],345,11,11,11,38.3,38.269,0,140.1,1978600000,157,1.3644238,1.2567886,0.9324004,1.195527,0.9694136,0.813897
Slr0565 protein,slr0565,Q55392,Q55392_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],325,6,6,6,29.5,35.381,0,45.098,1209900000,76,0.846518,0.9204718,0.8161182,0.873216,0.8902888,0.8758484
Diflavin flavoprotein A 1 (EC 1.-.-.-) (NADH:oxygen oxidoreductase) (SsATF573),dfa1 sll0550,Q55393,DFA1_SYNY3,,,FMN binding [GO:0010181];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491],FMN binding [GO:0010181];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491],573,24,24,24,49.6,63.505,0,323.31,5881400000,415,1.766242,1.524298,1.442512,1.369306,1.580002,1.542484
Sll0547 protein,sll0547,Q55396,Q55396_SYNY3,,,,,220,3,2,2,22.7,24.811,0,4.058,35820000,14,0.018385475,0.04049382,0.03008245,0.02437792,0.030248,0.01902122
Uncharacterized protein sll0546,sll0546,Q55397,Y546_SYNY3,formation of translation preinitiation complex [GO:0001731];IRES-dependent translational initiation of linear mRNA [GO:0002192];regulation of translation [GO:0006417];translation reinitiation [GO:0002188],translation initiation complex [GO:0070992],mRNA binding [GO:0003729];ribosome binding [GO:0043022];translation initiation factor activity [GO:0003743],formation of translation preinitiation complex [GO:0001731];IRES-dependent translational initiation of linear mRNA [GO:0002192];mRNA binding [GO:0003729];regulation of translation [GO:0006417];ribosome binding [GO:0043022];translation initiation complex [GO:0070992];translation initiation factor activity [GO:0003743];translation reinitiation [GO:0002188],111,2,2,2,31.5,11.933,0,3.4757,99482000,18,0.115637867,0.120435325,0.20648,0.206998,0.1871678,0.22393825
Thylakoid membrane protein slr0575,slr0575,Q55403,Y575_SYNY3,,integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],,integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],184,6,6,6,44.6,20.32,0,154.01,1658600000,77,1.759112,1.4567554,1.476486,1.502428,1.4251712,1.48807
Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),acsA acs sll0542,Q55404,ACSA_SYNY3,acetyl-CoA biosynthetic process from acetate [GO:0019427],,acetate-CoA ligase activity [GO:0003987];AMP binding [GO:0016208];ATP binding [GO:0005524];metal ion binding [GO:0046872],acetate-CoA ligase activity [GO:0003987];acetyl-CoA biosynthetic process from acetate [GO:0019427];AMP binding [GO:0016208];ATP binding [GO:0005524];metal ion binding [GO:0046872],653,25,25,25,44.1,73.051,0,323.31,8691200000,368,2.136262,2.01652,1.877486,1.972146,1.846326,1.643794
Acyl-CoA desaturase 1,desC(des9),Q55406,Q55406_SYNY3,unsaturated fatty acid biosynthetic process [GO:0006636],integral component of membrane [GO:0016021],"oxidoreductase activity [GO:0016491];oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]","integral component of membrane [GO:0016021];oxidoreductase activity [GO:0016491];oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717];unsaturated fatty acid biosynthetic process [GO:0006636]",318,3,3,3,7.2,37.203,0,17.994,554190000,32,0.2194572,0.311484,0.3698666,0.3000884,0.3233722,0.2034076
Slr0580 protein,slr0580,Q55407,Q55407_SYNY3,,,cystathionine gamma-lyase activity [GO:0004123];cystathionine gamma-synthase activity [GO:0003962];pyridoxal phosphate binding [GO:0030170],cystathionine gamma-lyase activity [GO:0004123];cystathionine gamma-synthase activity [GO:0003962];pyridoxal phosphate binding [GO:0030170],415,5,5,5,18.8,44.668,0,44.001,490710000,69,0.21191076,0.17984702,0.19040618,0.18234368,0.209667,0.2900896
Slr0583 protein,slr0583,Q55412,Q55412_SYNY3,nucleotide-sugar biosynthetic process [GO:0009226],,coenzyme binding [GO:0050662];oxidoreductase activity [GO:0016491],coenzyme binding [GO:0050662];nucleotide-sugar biosynthetic process [GO:0009226];oxidoreductase activity [GO:0016491],310,10,10,10,51.6,35.232,0,99.404,2273300000,122,1.125653,1.218664,1.287002,1.322458,1.35588,1.1657896
Slr0825 protein,slr0825,Q55413,Q55413_SYNY3,,,serine-type peptidase activity [GO:0008236],serine-type peptidase activity [GO:0008236],637,15,15,15,30,70.175,0,125.19,2423300000,178,0.6241924,0.7349568,0.6978152,0.6980022,0.6978012,0.690581
Low affinity sulfate transporter,sll0834,Q55415,Q55415_SYNY3,,integral component of plasma membrane [GO:0005887],secondary active sulfate transmembrane transporter activity [GO:0008271];sulfate transmembrane transporter activity [GO:0015116],integral component of plasma membrane [GO:0005887];secondary active sulfate transmembrane transporter activity [GO:0008271];sulfate transmembrane transporter activity [GO:0015116],564,4,4,4,11.9,59.048,0,47.146,363750000,47,0.05876952,0.08855052,0.16201504,0.14482084,0.20733104,0.1274115
OppC in a binding protein-dependent transport system,sll0833,Q55416,Q55416_SYNY3,transmembrane transport [GO:0055085],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],,integral component of membrane [GO:0016021];plasma membrane [GO:0005886];transmembrane transport [GO:0055085],371,3,3,3,13.2,40.28,0,6.2411,50825000,16,0.010214145,0.0778752,0.05088564,0.035900667,0.041690192,0.0434051
Sll0832 protein,sll0832,Q55417,Q55417_SYNY3,rRNA processing [GO:0006364],,,rRNA processing [GO:0006364],151,2,2,2,15.9,17.13,0,5.9986,113640000,31,0.0702865,0.0765076,0.07550396,0.07125214,0.0818258,0.09846936
Replicative DNA helicase (EC 3.6.4.12) [Cleaved into: Ssp dnaB intein],dnaB slr0833,Q55418,DNAB_SYNY3,"DNA replication, synthesis of RNA primer [GO:0006269];DNA unwinding involved in DNA replication [GO:0006268];intein-mediated protein splicing [GO:0016539]",cytosol [GO:0005829];primosome complex [GO:1990077],ATP binding [GO:0005524];DNA binding [GO:0003677];DNA helicase activity [GO:0003678];endonuclease activity [GO:0004519],"ATP binding [GO:0005524];cytosol [GO:0005829];DNA binding [GO:0003677];DNA helicase activity [GO:0003678];DNA replication, synthesis of RNA primer [GO:0006269];DNA unwinding involved in DNA replication [GO:0006268];endonuclease activity [GO:0004519];intein-mediated protein splicing [GO:0016539];primosome complex [GO:1990077]",872,9,9,9,12.6,97.812,0,25.875,230600000,56,0.02799188,0.03496296,0.04200914,0.03441132,0.04690796,0.05617486
MoxR protein,moxR,Q55419,Q55419_SYNY3,,cell wall [GO:0005618],ATP binding [GO:0005524];ATPase activity [GO:0016887],ATP binding [GO:0005524];ATPase activity [GO:0016887];cell wall [GO:0005618],303,14,14,14,72.6,33.452,0,323.31,1637000000,153,0.5722022,0.657142,0.7191958,0.606926,0.708728,0.7867004
"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",rfbB,Q55420,Q55420_SYNY3,nucleotide-sugar metabolic process [GO:0009225],,"dTDP-glucose 4,6-dehydratase activity [GO:0008460]","dTDP-glucose 4,6-dehydratase activity [GO:0008460];nucleotide-sugar metabolic process [GO:0009225]",342,5,5,5,21.3,38.487,0,52.569,403800000,62,0.13564764,0.1573964,0.1514262,0.1567716,0.1971778,0.198348
Elongation factor G-like protein,sll0830,Q55421,EFGL_SYNY3,,,GTP binding [GO:0005525];GTPase activity [GO:0003924],GTP binding [GO:0005525];GTPase activity [GO:0003924],669,11,11,11,24.4,73.369,0,89.255,1375000000,167,0.4260612,0.3819924,0.306592,0.2877182,0.3439188,0.2259466
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),purM slr0838,Q55422,PUR5_SYNY3,'de novo' IMP biosynthetic process [GO:0006189],cytoplasm [GO:0005737],ATP binding [GO:0005524];phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641],ATP binding [GO:0005524];cytoplasm [GO:0005737];'de novo' IMP biosynthetic process [GO:0006189];phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641],341,4,4,4,15.8,36.164,0,73.601,1487800000,72,1.09025,1.0115094,1.000156,0.9589692,0.9871604,0.8410302
Putative amidase (EC 3.5.1.4),sll0828,Q55424,AMID_SYNY3,,,amidase activity [GO:0004040],amidase activity [GO:0004040],506,9,9,9,31.6,54.254,0,90.905,976750000,158,0.3491624,0.3523276,0.2977092,0.356028,0.3515858,0.3326896
Sll0827 protein,sll0827,Q55425,Q55425_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],496,7,7,7,16.3,58.152,0,24.819,592310000,54,0.188739,0.15512688,0.161666,0.20003712,0.15260044,0.12712762
Slr0841 protein,slr0841,Q55426,Q55426_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288],291,9,9,9,52.6,31.566,0,193.68,1049000000,123,0.6606726,0.6529508,0.6400578,0.6327706,0.6549556,0.5969482
Slr0842 protein,slr0842,Q55427,Q55427_SYNY3,,,,,404,6,6,6,27,45.468,0,42.512,207640000,76,0.07583406,0.10108686,0.09021266,0.08390876,0.09482174,0.07707538
"NAD(P)H-quinone oxidoreductase chain 5 (EC 1.6.5.-) (NAD(P)H dehydrogenase I, chain 5) (NDH-1, chain 5)",ndhF slr0844,Q55429,NU5C_SYNY3,ATP synthesis coupled electron transport [GO:0042773],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038],ATP synthesis coupled electron transport [GO:0042773];integral component of membrane [GO:0016021];NADH dehydrogenase (ubiquinone) activity [GO:0008137];plasma membrane [GO:0005886];quinone binding [GO:0048038],681,6,6,6,10.4,74.399,0,47.732,481230000,69,0.18235882,0.21521852,0.2878956,0.3327666,0.23974116,0.18140682
Sll0822 protein,sll0822,Q55432,Q55432_SYNY3,"negative regulation of transcription, DNA-templated [GO:0045892]",protein-DNA complex [GO:0032993],"bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding [GO:0001217];sequence-specific DNA binding [GO:0043565];transcription regulatory region sequence-specific DNA binding [GO:0000976]","bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding [GO:0001217];negative regulation of transcription, DNA-templated [GO:0045892];protein-DNA complex [GO:0032993];sequence-specific DNA binding [GO:0043565];transcription regulatory region sequence-specific DNA binding [GO:0000976]",129,19,19,19,82.2,13.962,0,323.31,33688000000,482,33.31444,32.49,33.06654,31.10766,35.98018,38.81722
Phytochrome-like protein cph2 (Bacteriophytochrome cph2),cph2 sll0821,Q55434,PHY2_SYNY3,"detection of visible light [GO:0009584];protein-chromophore linkage [GO:0018298];red, far-red light phototransduction [GO:0009585];regulation of transcription, DNA-templated [GO:0006355]",,red or far-red light photoreceptor activity [GO:0009883],"detection of visible light [GO:0009584];protein-chromophore linkage [GO:0018298];red or far-red light photoreceptor activity [GO:0009883];red, far-red light phototransduction [GO:0009585];regulation of transcription, DNA-templated [GO:0006355]",1276,13,13,13,14.1,144.69,0,31.813,300060000,58,0.04558708,0.04610692,0.0506114,0.03456294,0.028565926,0.025479786
Slr0848 protein,slr0848,Q55436,Q55436_SYNY3,,,,,277,20,20,20,61,31.79,0,323.31,3969100000,354,1.801294,1.764826,1.792052,1.5023262,1.51643,1.880404
Sll0048 protein,sll0048,Q55437,Q55437_SYNY3,,,,,312,12,12,12,48.7,34.866,0,53.598,1006500000,70,0.6876998,0.453805,0.4405046,0.4798876,0.3934334,0.362981
Slr0023 protein,slr0023,Q55441,Q55441_SYNY3,,,,,204,3,3,3,22.5,23.101,0,10.709,85971000,40,0.028710033,0.05864432,0.05878156,0.06926818,0.05460632,0.06619584
Sll0044 protein,sll0044,Q55442,Q55442_SYNY3,chemotaxis [GO:0006935],,signal transducer activity [GO:0004871],chemotaxis [GO:0006935];signal transducer activity [GO:0004871],161,6,6,6,43.5,17.733,0,9.124,256440000,57,0.14523896,0.1567908,0.1606666,0.167442,0.1827072,0.17972458
CheA like protein,sll0043,Q55443,Q55443_SYNY3,chemotaxis [GO:0006935],cytoplasm [GO:0005737],phosphorelay sensor kinase activity [GO:0000155],chemotaxis [GO:0006935];cytoplasm [GO:0005737];phosphorelay sensor kinase activity [GO:0000155],1402,21,20,20,19.5,153.1,0,166.91,1736300000,199,0.2609226,0.2607074,0.2376996,0.2185464,0.26086,0.2780976
Methyl-accepting chemotaxis protein II,tar,Q55444,Q55444_SYNY3,,membrane [GO:0016020],signal transducer activity [GO:0004871],membrane [GO:0016020];signal transducer activity [GO:0004871],163,3,3,3,23.3,17.707,0,19.539,232640000,20,0.18323166,0.1430906,0.17618626,0.1411312,0.2482132,0.2174104
Putative methyl-accepting chemotaxis protein sll0041,sll0041,Q55445,Y041_SYNY3,chemotaxis [GO:0006935];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021],signal transducer activity [GO:0004871],chemotaxis [GO:0006935];integral component of membrane [GO:0016021];protein-chromophore linkage [GO:0018298];signal transducer activity [GO:0004871],1000,34,34,34,42.3,108.33,0,323.31,7783300000,424,1.2776334,1.406048,1.10047,0.9933254,1.356112,1.4181122
Sll0040 protein,sll0040,Q55446,Q55446_SYNY3,chemotaxis [GO:0006935],cytosol [GO:0005829],signal transducer activity [GO:0004871],chemotaxis [GO:0006935];cytosol [GO:0005829];signal transducer activity [GO:0004871],182,3,3,3,14.3,20.251,0,11.941,517930000,46,0.690532,0.4798574,0.546006,0.5685526,0.7103034,0.7342648
CheY subfamily,sll0039,Q55447,Q55447_SYNY3,phosphorelay signal transduction system [GO:0000160],intracellular [GO:0005622],,intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160],119,8,8,8,75.6,13.181,0,95.607,4110200000,150,4.202184,3.748838,3.640974,3.502444,3.812018,3.797182
PatA subfamily,sll0038,Q55448,Q55448_SYNY3,phosphorelay signal transduction system [GO:0000160],intracellular [GO:0005622],,intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160],402,15,15,15,41.5,44.815,0,253.69,5213600000,310,1.857236,1.907978,1.565354,1.690866,1.594778,1.565658
Slr0031 protein,slr0031,Q55449,Q55449_SYNY3,,,,,584,3,3,3,7.4,66.968,0.0026288,2.0485,256090000,26,0.10005032,0.06896422,0.06690602,0.05687618,0.08424894,0.07304688
Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL),cbiX sll0037,Q55451,CBIX_SYNY3,cobalamin biosynthetic process [GO:0009236],,"4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];sirohydrochlorin cobaltochelatase activity [GO:0016852]","4 iron, 4 sulfur cluster binding [GO:0051539];cobalamin biosynthetic process [GO:0009236];metal ion binding [GO:0046872];sirohydrochlorin cobaltochelatase activity [GO:0016852]",336,9,9,9,35.1,38.339,0,100.64,379060000,38,0.09816728,0.13581826,0.2034964,0.1515727,0.17173678,0.2604334
Uncharacterized protein sll0036,sll0036,Q55452,Y036_SYNY3,methylglyoxal biosynthetic process [GO:0019242],,methylglyoxal synthase activity [GO:0008929];NAD+ kinase activity [GO:0003951],methylglyoxal biosynthetic process [GO:0019242];methylglyoxal synthase activity [GO:0008929];NAD+ kinase activity [GO:0003951],433,6,6,6,27,45.909,0,30.366,396270000,35,0.15498805,0.1878014,0.2107856,0.1995544,0.21442054,0.2341554
Aminotransferase (EC 2.6.1.-),aspC,Q55453,Q55453_SYNY3,biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170];transaminase activity [GO:0008483],biosynthetic process [GO:0009058];pyridoxal phosphate binding [GO:0030170];transaminase activity [GO:0008483],389,2,2,2,7.2,42.455,0,4.4528,7351800000,12,3.231974,3.493148,3.761002,3.719032,4.19815,4.198328
Sll0034 protein,sll0034,Q55454,Q55454_SYNY3,,integral component of membrane [GO:0016021],peptidase activity [GO:0008233],integral component of membrane [GO:0016021];peptidase activity [GO:0008233],258,6,6,6,27.9,28.593,0,63.877,439500000,38,0.3089814,0.3523262,0.2403046,0.2291982,0.3194452,0.405006
Sll0033 protein,sll0033,Q55455,Q55455_SYNY3,carotenoid biosynthetic process [GO:0016117],intracellular [GO:0005622],carotenoid isomerase activity [GO:0046608];oxidoreductase activity [GO:0016491],carotenoid biosynthetic process [GO:0016117];carotenoid isomerase activity [GO:0046608];intracellular [GO:0005622];oxidoreductase activity [GO:0016491],501,14,14,14,38.5,55.771,0,134.4,1730800000,208,0.5297228,0.5448886,0.5586142,0.5955694,0.6010418,0.514172
